Objet ,Visite des lieux ,Soumission électronique ,Secteur ,Téléchargement,Ville d'exécution ,Adresse retrait ,Allotissement ,Contact ,Budget ,Mode paiement ,Obsérvation ,Support,Domaine ,Type ,Organisme ,Montant retrait ,Mt caution 
AO simplifié : travaux d'amenagement l'aborattoire communale au centre de tamri -commune de tamri.,--- | Demander D.A.O,Oui,,,- Agadir,,,,"270.060,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 18/005 | L'opinion | 25/08/2025 | 18/005",,National,Region de souss-massa, | ---,"5.401,00 MAD | ---"
Consultation architecturale ouverte simplifiée : la conception architecturale et le suivi des travaux de reconstruction de la mosquée ait mhened - préfecture d’Agadir ida outanane.,--- | Télécharger D.A.O,,,https://global-marches.com/downoaldcps/1488385.zip,- Agadir,,,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845,"2.883.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Agence nationale des equipements publics (ANEP) / direction régionale de l'agence nationale des équipements publics du sud, | ---, | ---
Travaux d'alimentation en eau potable de divers dours relevant de la commune d'assads projet : réalisation d'installations solaires photovoltaïques de production d'energie solaire au niveau de quatre stations de reprise,--- | Demander D.A.O,Oui,,,- Taroudant,,,,"551.800,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 18/04 | L'opinion | 25/08/2025 | 18/04",,National,Region de souss-massa /province de taroudant, | ---,"10.000,00 MAD | ---"
Consultation architecturale ouverte : la conception architecturale et le suivi des travaux de reconstruction de la mosquée amawoune – province de chtouka ait baha.,--- | Télécharger D.A.O,,,https://global-marches.com/downoaldcps/1488384.zip,- Chtouka ait baha,,,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845,"4.100.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Agence nationale des equipements publics (ANEP) / direction régionale de l'agence nationale des equipements publics du sud, | ---, | ---
"Consultation architecturale ouverte : la conception architecturale et le suivi des travaux de construction du centre de sante rural niveau 1, a indouzal – province de taroudant.",--- | Télécharger D.A.O,,,https://global-marches.com/downoaldcps/1488383.zip,- Taroudant,,,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845,"5.600.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Agence nationale des equipements publics (ANEP) / direction regionale de l'agence nationale des equipements publics du sud, | ---, | ---
Consultation architecturale ouverte : la conception architecturale et le suivi des travaux de reconstruction de la mosquée tazeki –préfecture d’Agadir idaoutanane.,--- | Télécharger D.A.O,,,https://global-marches.com/downoaldcps/1488381.zip,- Agadir,,,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845,"3.610.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Agence nationale des equipements publics (ANEP) / direction regionale de l'agence nationale des equipements publics du sud, | ---, | ---
achat du matériel nécessaire pour la mesure des eaux au profit de l'agence du bassin hydraulique de draa oued noun,--- | Demander D.A.O,Oui,,,- Guelmim,,,,"247.200,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02",,National,Agence du bassin hydraulique, | ---,"4.000,00 MAD | ---"
"Maintenance et Recharge d’Un Ensemble des Extincteurs Installés Dans Plusieurs Mosquées de la Région Souss Massa, en lot unique.",--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488379.zip,- Agadir,,,OUBAHA MARYEM - Téléphone: 0528847679 - Email: maryem0oubaha@gmail.com - Télécopieur: 0528845482,"234.252,00 MAD | ", | ---,"budget en ttc , Réservé aux PME, coopératives, unions de coopératives & auto-entrepreneurs)","SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,Appel d'offre resérvé au pme nationales,Ministère des Habous et des Affaires islamiques / Délégation régionale Souss Massa Agadir, | ---,"4.000,00 MAD | ---"
Consultation architecturale ouverte : la conception architecturale et le suivi des travaux de reconstruction de la mosquée al atik – préfecture d’inezgane-ait melloul.,--- | Télécharger D.A.O,,,https://global-marches.com/downoaldcps/1488378.zip,- Inezgane ait melloul,,,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845,"4.244.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Agence nationale des equipements publics (ANEP) / direction regionale de l'agence nationale des équipements publics du sud, | ---, | ---
Consultation architecturale ouverte : la conception architecturale et le suivi des travaux de reconstruction de la mosquée ait ilyass – province chtouka ait baha.,--- | Télécharger D.A.O,,,https://global-marches.com/downoaldcps/1488376.zip,- Chtouka ait baha,,,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845,"3.779.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Agence nationale des equipements publics (ANEP) / direction regionale de l'agence nationale des equipements publics du sud, | ---, | ---
"AO Simplifie : Fourniture d’outillage électrique , d’équipements de protection individuelle (epi) et vetements haute visibilite d’eclairage public",--- | Demander D.A.O,,,,- Sale,"Boulevard Mohammed V, Près du terminus tramway hay karima, en face du collège Semara, Salé, Maroc. Tél : 0537 26 47 73/74",,ADIL ATMANI - Téléphone: 0661334036 - Email: atmani.salanoor@gmail.com - Télécopieur: 0537874376,"200.000,00 MAD | ", | ---,la date limite à vérifier,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Autres organismes particuliers / SOCIETE DE DEVELOPPEMENT LOCAL SALANOOR, | ---,"3.000,00 MAD | ---"
réalisation des mesures d'eau au niveau des stations et des barrages dans la zone d'action de l'agence du bassin hydraulique draa oued noun,--- | Demander D.A.O,Oui,,,- Guelmim,,,,"3.699.840,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02",,International,Agence du bassin hydraulique, | ---,"50.000,00 MAD | ---"
Consultation architecturale ouverte : les études architecturales et suivie des travaux d'achèvement de construction d’une piscine au complexe sportif et de loisir au lotissement al wiam -province d’errachidia-,16/09/2025 10:00 | Télécharger D.A.O,,,https://global-marches.com/downoaldcps/1488373.zip,- Errachidia,,,bureau des marchés commune urbaine Errachidia - Téléphone: 0535571545 - Email: b.marches@menara.ma - Télécopieur: 0535572216,"10.000.000,00 MAD | ", | ---,Il est prévu une visite des lieux non obligatoire le 16/09/2025 à 10 H,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Region de draa - tafilalet / Commune urbaine de ERRACHIDIA, | ---, | ---
extension et mise a niveau du systeme d'annonce des crues dans les bassins du draa oued noun,--- | Demander D.A.O,Oui,,,- Guelmim,,,,"3.685.680,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02",,International,Agence du bassin hydraulique, | ---,"73.000,00 MAD | ---"
réalisation des mesures d'eau au niveau des piézomètres et des points de jaugeage dans la zone d'action de l'agence du bassin hydraulique draa oued noun,--- | Demander D.A.O,Oui,,,- Guelmim,,,,"758.640,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02",,National,Agence du bassin hydraulique, | ---,"14.000,00 MAD | ---"
Travaux de construction de la piste reliant la RP5049 et Ecole Aouglit au douar Aouglit sur une longueur de 3000 ml à la commune Dar El-Hamra - Province de Sefrou-.,--- | Déjà téléchargé Ne plus suivre,Oui Cliquer ici,"Secteur Qualification Classe
B B3 4
B B5 4
B B1 4 | B | B3 | 4 | B | B5 | 4 | B | B1 | 4",https://global-marches.com/downoaldcps/1488370.zip,- Sefrou,division des équipements de la Province de Séfrou,,marche Service - Téléphone: 0535660061/0535660504 - Email: province-sefrou@hotmail.fr - Télécopieur: 0535969806,"3.650.634,00 MAD | ", | ---,qualifications mentionnée au niveau de RC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Region de fes - meknes / Province de Sefrou, | ---,"70.000,00 MAD | ---"
Travaux d'électrification 2°/1° categorie site d'accueil du douar azrou sis a la commune d'aghoitim - province d'al haouz,--- | Demander D.A.O,Oui,"Secteur Qualification Classe
4 4-1 1 | 4 | 4-1 | 1",,- Al haouz,,,,"407.941,39 MAD | ", | ---,voie electronique obligatoire - Budget en TTC - Equipement : J6- classe 4,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 17/001 | L'opinion | 25/08/2025 | 17/001",,National,Holding al omrane /al omrane marrakech safi, | ---,"5.000,00 MAD | ---"
étude géotechnique nécessaire à l’étude d’élargissement et de renforcement de la rr 304 du pk 94+000 au pk 110+700 (province de fquih ben salah),--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
EG : etudes geotechnique EG3 3 | EG : etudes geotechnique | EG3 | 3",https://global-marches.com/downoaldcps/1488368.zip,- Fquih ben salah,,,IKRAME EL-HAMRI - Téléphone: 0648348108 - Email: hamriikrame2003@gmail.com - Télécopieur: 0523481606,"70.920,00 MAD | ", | ---,qualifications mentionnée au niveau de RC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,"ministere  de l’equipement et de l’eau / le directeur provincial de l'equipement, du transport et de la logistique de benimellal", | ---,"1.300,00 MAD | ---"
La modernisation du réseau de mesure situe dans la zone d'action de l'agence du bassin hydraulique du draa oued noun,--- | Demander D.A.O,Oui,,,- Guelmim,,,,"2.999.400,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02",,International,Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun, | ---,"40.000,00 MAD | ---"
Acquisition d'un datacenter,--- | Demander D.A.O,,,,- Casablanca,"Siège d'attawfiq micro-finance à partir du 25/08/2025. | l'adresse de retrait est : attawfiq microfinance, 79, boulevard hassan ii, casablanca.",,tél :(212) 05 22 43 49 49, | , | ---,,"SUPPORT DU PAGE/COLONNE
L'economiste 25/08/2025 11/04 | L'economiste | 25/08/2025 | 11/04",,National,Attawfiq micro-finance, | ---, | ---
Assistance technique pour la gestion des dossiers des demandes d'utilisation du domaine public hydraulique,--- | Demander D.A.O,Oui,,,- Guelmim,,,,"2.400.000,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02",,International,Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun, | ---,"47.000,00 MAD | ---"
"travaux de construction de la morgue et l’autopsie du centre hospitalier provincial hassan ii, province de settat.",--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
A A2 4 | A | A2 | 4",https://global-marches.com/downoaldcps/1488364.zip,- Settat,,,mohamed zahri - Téléphone: 0662612917 - Email: zahrithm@yahoo.fr - Télécopieur: 0523402215,"2.529.672,00 MAD | ", | ---,budget en TTC - qualifications mentionnée au niveau de RC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Ministère De La Sante et de la protection sociale / délégué du ministère de la sante a la province settat, | ---,"50.000,00 MAD | ---"
"Assistance technique, suivi et contrôle des travaux de construction des seuils de recharge artificielle de la nappe dans la province de guelmim",--- | Demander D.A.O,Oui,,,- Guelmim,,,,"348.000,00 MAD | ", | ---,"budget en ttc - réserve aux TPE PME les jeunes entreprises innovantes, aux cooperatives, aux unions de cooperatives et aux autoentrepreneurs","SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02",,Appel d'offre resérvé au pme nationales,Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun, | ---,"6.000,00 MAD | ---"
"Travaux de construction des pistes a la commune d'azzaba , province de sefrou région fes - meknes - en lot unique -",--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
B B5 2
B B3 2
B B1 2 | B | B5 | 2 | B | B3 | 2 | B | B1 | 2",https://global-marches.com/downoaldcps/1488360.zip,- Sefrou,,,SAID HRA - Téléphone: 05 35 40 11 43 - Email: arep.fes-meknes@outlook.fr - Télécopieur: 05 35 40 19 09,"11.019.273,60 MAD | ", | ---,budget en TTC / av 1 : certificat de qualification et de classification mentionné au niveau du RC,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 17/03
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 17/03 | SITE WEB | 25/08/2025 | 01/01",,Appel d'offre resérvé au pme nationales,agence regionale d'execution des projets - arep, | ---,"140.000,00 MAD | ---"
travaux de réalisation des forages d’eau dans les communes relevant de la province de beni mellal ; en 09 lots,--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
H H6 2
H H4 2
H H3 2
H H2 2 | H | H6 | 2 | H | H4 | 2 | H | H3 | 2 | H | H2 | 2",https://global-marches.com/downoaldcps/1488359.zip,- Beni mellal,siège du conseil provincial de Béni-Mellal,,DGS CPBM - Téléphone: 0523422037 - Email: conseilprovincial.benimellal@gmail.com - Télécopieur: 0523422037, | , | ---,Pour détails des lots voir le CPS + qualifications mentionnée au niveau de RC + la date limite à vérifier,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Region de Beni mellal - khenifra / conseil provincial de beni mellal, | ---, | ---
Assistance technique et suivi du projet de la protection contre les inondations dans le cadre du fond national de lutte contre les catastrophes naturelles dans: ct tiguezmert province de tata.,--- | Demander D.A.O,Oui,,,- Tata,,,,"606.000,00 MAD | ", | ---,"budget en ttc - réserve aux TPE PME les jeunes entreprises innovantes, aux cooperatives, aux unions de cooperatives et aux autoentrepreneurs","SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02",,Appel d'offre resérvé au pme nationales,Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun, | ---,"12.000,00 MAD | ---"
"Achevement des travaux d'aménagement du terrain de sport a ras lma dans la province de moulay yaacoub, région de fes meknes- en lot unique",--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
O O2 1 | O | O2 | 1",https://global-marches.com/downoaldcps/1488357.zip,- Moulay yaacoub,,,SAID HRA - Téléphone: 05 35 40 11 43 - Email: arep.fes-meknes@outlook.fr - Télécopieur: 05 35 40 19 09,"3.342.600,00 MAD | ", | 15/09/2025,budget en TTC - les documents techniques doit etre déposés au plus tard le jour ouvrable précédant la date d'ouverture des plis ( heure à vérifier ) / av 1 : certificat de qualification et de classification mentionné au niveau du RC,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 17/02
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 17/02 | SITE WEB | 25/08/2025 | 01/01",,Appel d'offre resérvé au pme nationales,agence regionale d'execution des projets - arep, | ---,"40.000,00 MAD | ---"
Travaux d'aménagement et de remise à niveau de la route provinciale la RP3038 à nouaceur,08/09/2025 10:00 | Demander D.A.O,Oui,,,- Nouacer,,,,"3.092.400,00 MAD | ", | ---,BUDGET EN TTC,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 17/005 | Les eco | 25/08/2025 | 17/005",,National,societe de developpement local nouaceur developpement S.A /Nouaceur developpement s.a., | ---,"48.000,00 MAD | 08/09/2025 10:00"
"Travaux de construction des pistes à la province d'el hajeb , région fes meknes en lot unique : - la piste reliant la RP7058 et le domaine tafornet a la commune d'ait naaman - la piste reliant la RP7065 et la RP7058 via les coopératives : ait said , el farah et ait moussa a la commune d'ait naaman - les pistes menant au douar d'aadssi et douar jdid a la commune de ras ijerri",--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
B B5 2
B B3 2
B B1 2 | B | B5 | 2 | B | B3 | 2 | B | B1 | 2",https://global-marches.com/downoaldcps/1488355.zip,- El hajeb,,,SAID HRA - Téléphone: 05 35 40 11 43 - Email: arep.fes-meknes@outlook.fr - Télécopieur: 05 35 40 19 09,"10.671.805,20 MAD | ", | ---,budget en TTC / av 1 : certificat de qualification et de classification mentionné au niveau du RC,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 17/01
SITE WEB 25/08/2025 01/1 | L'opinion | 25/08/2025 | 17/01 | SITE WEB | 25/08/2025 | 01/1",,Appel d'offre resérvé au pme nationales,agence regionale d'execution des projets - arep, | ---,"130.000,00 MAD | ---"
travaux de construction d’une piste au niveau de la commune foum el anceur a la province de beni mellal. -lot unique-,--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
B B5 3 | B | B5 | 3",https://global-marches.com/downoaldcps/1488352.zip,- Beni mellal,"service des marchés au siège de la l'agence, sis à l'avenue Mohamed V, Lot. Lalla Hayat, Immeuble 3, étage 4 Béni Mellal",,SOUKAINA EL IDRISSI - Téléphone: 05 23 42 22 79 - Email: daaf.areprbk@gmail.com - Télécopieur: 05 23 42 22 79,"5.232.168,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,agence regionale d'execution des projets - arep / agence regionale d'execution des projets de la region beni mellal- khenifra, | ---,"80.000,00 MAD | ---"
"AO simplifié : travaux d'aménagement par dallage des pistes menant au douar idbahmouche a la commune de tamri , province d'agadir ida outanane",--- | Demander D.A.O,Oui,,,- Agadir,,,,"310.500,00 MAD | ", | ---,budget et caution en TTC,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 20/02 | L'opinion | 25/08/2025 | 20/02",,National,Region de souss-massa /province d'Agadir, | ---,"6.210,00 MAD | ---"
AO simplifié : prestation de désinsectisation et désinfection des locaux des abattoirs de la région sis quartier industriel sidi bouknadel- lot unique,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488350.zip,- Sale,,,YOUSSEF LHOR - Téléphone: 0673997857 - Email: y.lhor@yahoo.fr - Télécopieur: 0537771785,"230.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 20/001 | L'opinion | 25/08/2025 | 20/001",,National,Autres societes /Societe de developpement local rabat sale temara prestations, | ---,"4.500,00 MAD | ---"
Travaux de construction de la piste reliant le centre d'aglat el-bel a la commune de m'sied vers la commune abteh commune m'sied province de tan tan ( 1er tranche ),--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
B B3 5
B B1 3 | B | B3 | 5 | B | B1 | 3",https://global-marches.com/downoaldcps/1488349.zip,- Tan-tan,,,BRAHIM EL OIAABANE - Téléphone: 0528765030 - Email: hamsied@hotmail.com - Télécopieur: 0528877677,"4.982.472,00 MAD | ", | ---,av 1 : qualifications mentionnée au niveau de RC,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 20/01
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 20/01 | SITE WEB | 25/08/2025 | 01/01",,National,Region de guelmim - oued Noun /province de tan tan, | ---,"74.738,00 MAD | ---"
