Secteur ,Mode paiement ,Support,Budget ,Visite des lieux ,Type ,Allotissement ,Mt caution ,Organisme ,Obsérvation ,Téléchargement,Contact ,Montant retrait ,Soumission électronique ,Ville d'exécution ,Domaine ,Objet ,Adresse retrait 
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","4.100.000,00 MAD | ",--- | Télécharger D.A.O,National,, | ---,Agence nationale des equipements publics (ANEP) / direction régionale de l'agence nationale des equipements publics du sud,,https://global-marches.com/downoaldcps/1488384.zip,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845, | ---,,- Chtouka ait baha,,Consultation architecturale ouverte : la conception architecturale et le suivi des travaux de reconstruction de la mosquée amawoune – province de chtouka ait baha.,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","5.600.000,00 MAD | ",--- | Télécharger D.A.O,National,, | ---,Agence nationale des equipements publics (ANEP) / direction regionale de l'agence nationale des equipements publics du sud,,https://global-marches.com/downoaldcps/1488383.zip,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845, | ---,,- Taroudant,,"Consultation architecturale ouverte : la conception architecturale et le suivi des travaux de construction du centre de sante rural niveau 1, a indouzal – province de taroudant.",
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","3.610.000,00 MAD | ",--- | Télécharger D.A.O,National,, | ---,Agence nationale des equipements publics (ANEP) / direction regionale de l'agence nationale des equipements publics du sud,,https://global-marches.com/downoaldcps/1488381.zip,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845, | ---,,- Agadir,,Consultation architecturale ouverte : la conception architecturale et le suivi des travaux de reconstruction de la mosquée tazeki –préfecture d’Agadir idaoutanane.,
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02","247.200,00 MAD | ",--- | Demander D.A.O,National,,"4.000,00 MAD | ---",Agence du bassin hydraulique,budget en ttc,,, | ---,Oui,- Guelmim,,achat du matériel nécessaire pour la mesure des eaux au profit de l'agence du bassin hydraulique de draa oued noun,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","234.252,00 MAD | ",--- | Télécharger D.A.O,Appel d'offre resérvé au pme nationales,,"4.000,00 MAD | ---",Ministère des Habous et des Affaires islamiques / Délégation régionale Souss Massa Agadir,"budget en ttc , Réservé aux PME, coopératives, unions de coopératives & auto-entrepreneurs)",https://global-marches.com/downoaldcps/1488379.zip,OUBAHA MARYEM - Téléphone: 0528847679 - Email: maryem0oubaha@gmail.com - Télécopieur: 0528845482, | ---,Oui Cliquer ici,- Agadir,,"Maintenance et Recharge d’Un Ensemble des Extincteurs Installés Dans Plusieurs Mosquées de la Région Souss Massa, en lot unique.",
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","4.244.000,00 MAD | ",--- | Télécharger D.A.O,National,, | ---,Agence nationale des equipements publics (ANEP) / direction regionale de l'agence nationale des équipements publics du sud,,https://global-marches.com/downoaldcps/1488378.zip,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845, | ---,,- Inezgane ait melloul,,Consultation architecturale ouverte : la conception architecturale et le suivi des travaux de reconstruction de la mosquée al atik – préfecture d’inezgane-ait melloul.,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","3.779.000,00 MAD | ",--- | Télécharger D.A.O,National,, | ---,Agence nationale des equipements publics (ANEP) / direction regionale de l'agence nationale des equipements publics du sud,,https://global-marches.com/downoaldcps/1488376.zip,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845, | ---,,- Chtouka ait baha,,Consultation architecturale ouverte : la conception architecturale et le suivi des travaux de reconstruction de la mosquée ait ilyass – province chtouka ait baha.,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","200.000,00 MAD | ",--- | Demander D.A.O,National,,"3.000,00 MAD | ---",Autres organismes particuliers / SOCIETE DE DEVELOPPEMENT LOCAL SALANOOR,la date limite à vérifier,,ADIL ATMANI - Téléphone: 0661334036 - Email: atmani.salanoor@gmail.com - Télécopieur: 0537874376, | ---,,- Sale,,"AO Simplifie : Fourniture d’outillage électrique , d’équipements de protection individuelle (epi) et vetements haute visibilite d’eclairage public","Boulevard Mohammed V, Près du terminus tramway hay karima, en face du collège Semara, Salé, Maroc. Tél : 0537 26 47 73/74"
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02","3.699.840,00 MAD | ",--- | Demander D.A.O,International,,"50.000,00 MAD | ---",Agence du bassin hydraulique,budget en ttc,,, | ---,Oui,- Guelmim,,réalisation des mesures d'eau au niveau des stations et des barrages dans la zone d'action de l'agence du bassin hydraulique draa oued noun,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","10.000.000,00 MAD | ",16/09/2025 10:00 | Télécharger D.A.O,National,, | ---,Region de draa - tafilalet / Commune urbaine de ERRACHIDIA,Il est prévu une visite des lieux non obligatoire le 16/09/2025 à 10 H,https://global-marches.com/downoaldcps/1488373.zip,bureau des marchés commune urbaine Errachidia - Téléphone: 0535571545 - Email: b.marches@menara.ma - Télécopieur: 0535572216, | ---,,- Errachidia,,Consultation architecturale ouverte : les études architecturales et suivie des travaux d'achèvement de construction d’une piscine au complexe sportif et de loisir au lotissement al wiam -province d’errachidia-,
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02","3.685.680,00 MAD | ",--- | Demander D.A.O,International,,"73.000,00 MAD | ---",Agence du bassin hydraulique,budget en ttc,,, | ---,Oui,- Guelmim,,extension et mise a niveau du systeme d'annonce des crues dans les bassins du draa oued noun,
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02","758.640,00 MAD | ",--- | Demander D.A.O,National,,"14.000,00 MAD | ---",Agence du bassin hydraulique,budget en ttc,,, | ---,Oui,- Guelmim,,réalisation des mesures d'eau au niveau des piézomètres et des points de jaugeage dans la zone d'action de l'agence du bassin hydraulique draa oued noun,
"Secteur Qualification Classe
B B3 4
B B5 4
B B1 4 | B | B3 | 4 | B | B5 | 4 | B | B1 | 4", | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","3.650.634,00 MAD | ",--- | Déjà téléchargé Ne plus suivre,National,,"70.000,00 MAD | ---",Region de fes - meknes / Province de Sefrou,qualifications mentionnée au niveau de RC,https://global-marches.com/downoaldcps/1488370.zip,marche Service - Téléphone: 0535660061/0535660504 - Email: province-sefrou@hotmail.fr - Télécopieur: 0535969806, | ---,Oui Cliquer ici,- Sefrou,,Travaux de construction de la piste reliant la RP5049 et Ecole Aouglit au douar Aouglit sur une longueur de 3000 ml à la commune Dar El-Hamra - Province de Sefrou-.,division des équipements de la Province de Séfrou
"Secteur Qualification Classe
4 4-1 1 | 4 | 4-1 | 1", | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 17/001 | L'opinion | 25/08/2025 | 17/001","407.941,39 MAD | ",--- | Demander D.A.O,National,,"5.000,00 MAD | ---",Holding al omrane /al omrane marrakech safi,voie electronique obligatoire - Budget en TTC - Equipement : J6- classe 4,,, | ---,Oui,- Al haouz,,Travaux d'électrification 2°/1° categorie site d'accueil du douar azrou sis a la commune d'aghoitim - province d'al haouz,
"Secteur Qualification Classe
EG : etudes geotechnique EG3 3 | EG : etudes geotechnique | EG3 | 3", | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","70.920,00 MAD | ",--- | Télécharger D.A.O,National,,"1.300,00 MAD | ---","ministere  de l’equipement et de l’eau / le directeur provincial de l'equipement, du transport et de la logistique de benimellal",qualifications mentionnée au niveau de RC,https://global-marches.com/downoaldcps/1488368.zip,IKRAME EL-HAMRI - Téléphone: 0648348108 - Email: hamriikrame2003@gmail.com - Télécopieur: 0523481606, | ---,Oui Cliquer ici,- Fquih ben salah,,étude géotechnique nécessaire à l’étude d’élargissement et de renforcement de la rr 304 du pk 94+000 au pk 110+700 (province de fquih ben salah),
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02","2.999.400,00 MAD | ",--- | Demander D.A.O,International,,"40.000,00 MAD | ---",Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun,budget en ttc,,, | ---,Oui,- Guelmim,,La modernisation du réseau de mesure situe dans la zone d'action de l'agence du bassin hydraulique du draa oued noun,
, | ---,"SUPPORT DU PAGE/COLONNE
L'economiste 25/08/2025 11/04 | L'economiste | 25/08/2025 | 11/04", | ,--- | Demander D.A.O,National,, | ---,Attawfiq micro-finance,,,tél :(212) 05 22 43 49 49, | ---,,- Casablanca,,Acquisition d'un datacenter,"Siège d'attawfiq micro-finance à partir du 25/08/2025. | l'adresse de retrait est : attawfiq microfinance, 79, boulevard hassan ii, casablanca."
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02","2.400.000,00 MAD | ",--- | Demander D.A.O,International,,"47.000,00 MAD | ---",Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun,budget en ttc,,, | ---,Oui,- Guelmim,,Assistance technique pour la gestion des dossiers des demandes d'utilisation du domaine public hydraulique,
"Secteur Qualification Classe
A A2 4 | A | A2 | 4", | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","2.529.672,00 MAD | ",--- | Télécharger D.A.O,National,,"50.000,00 MAD | ---",Ministère De La Sante et de la protection sociale / délégué du ministère de la sante a la province settat,budget en TTC - qualifications mentionnée au niveau de RC,https://global-marches.com/downoaldcps/1488364.zip,mohamed zahri - Téléphone: 0662612917 - Email: zahrithm@yahoo.fr - Télécopieur: 0523402215, | ---,Oui Cliquer ici,- Settat,,"travaux de construction de la morgue et l’autopsie du centre hospitalier provincial hassan ii, province de settat.",
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02","348.000,00 MAD | ",--- | Demander D.A.O,Appel d'offre resérvé au pme nationales,,"6.000,00 MAD | ---",Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun,"budget en ttc - réserve aux TPE PME les jeunes entreprises innovantes, aux cooperatives, aux unions de cooperatives et aux autoentrepreneurs",,, | ---,Oui,- Guelmim,,"Assistance technique, suivi et contrôle des travaux de construction des seuils de recharge artificielle de la nappe dans la province de guelmim",
"Secteur Qualification Classe
B B5 2
B B3 2
B B1 2 | B | B5 | 2 | B | B3 | 2 | B | B1 | 2", | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 17/03
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 17/03 | SITE WEB | 25/08/2025 | 01/01","11.019.273,60 MAD | ",--- | Télécharger D.A.O,Appel d'offre resérvé au pme nationales,,"140.000,00 MAD | ---",agence regionale d'execution des projets - arep,budget en TTC / av 1 : certificat de qualification et de classification mentionné au niveau du RC,https://global-marches.com/downoaldcps/1488360.zip,SAID HRA - Téléphone: 05 35 40 11 43 - Email: arep.fes-meknes@outlook.fr - Télécopieur: 05 35 40 19 09, | ---,Oui Cliquer ici,- Sefrou,,"Travaux de construction des pistes a la commune d'azzaba , province de sefrou région fes - meknes - en lot unique -",
"Secteur Qualification Classe
H H6 2
H H4 2
H H3 2
H H2 2 | H | H6 | 2 | H | H4 | 2 | H | H3 | 2 | H | H2 | 2", | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01", | ,--- | Télécharger D.A.O,National,, | ---,Region de Beni mellal - khenifra / conseil provincial de beni mellal,Pour détails des lots voir le CPS + qualifications mentionnée au niveau de RC + la date limite à vérifier,https://global-marches.com/downoaldcps/1488359.zip,DGS CPBM - Téléphone: 0523422037 - Email: conseilprovincial.benimellal@gmail.com - Télécopieur: 0523422037, | ---,Oui Cliquer ici,- Beni mellal,,travaux de réalisation des forages d’eau dans les communes relevant de la province de beni mellal ; en 09 lots,siège du conseil provincial de Béni-Mellal
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 15/02 | Les eco | 25/08/2025 | 15/02","606.000,00 MAD | ",--- | Demander D.A.O,Appel d'offre resérvé au pme nationales,,"12.000,00 MAD | ---",Agence du bassin hydraulique /Agence du bassin hydraulique de draa oued noun,"budget en ttc - réserve aux TPE PME les jeunes entreprises innovantes, aux cooperatives, aux unions de cooperatives et aux autoentrepreneurs",,, | ---,Oui,- Tata,,Assistance technique et suivi du projet de la protection contre les inondations dans le cadre du fond national de lutte contre les catastrophes naturelles dans: ct tiguezmert province de tata.,
"Secteur Qualification Classe
O O2 1 | O | O2 | 1", | 15/09/2025,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 17/02
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 17/02 | SITE WEB | 25/08/2025 | 01/01","3.342.600,00 MAD | ",--- | Télécharger D.A.O,Appel d'offre resérvé au pme nationales,,"40.000,00 MAD | ---",agence regionale d'execution des projets - arep,budget en TTC - les documents techniques doit etre déposés au plus tard le jour ouvrable précédant la date d'ouverture des plis ( heure à vérifier ) / av 1 : certificat de qualification et de classification mentionné au niveau du RC,https://global-marches.com/downoaldcps/1488357.zip,SAID HRA - Téléphone: 05 35 40 11 43 - Email: arep.fes-meknes@outlook.fr - Télécopieur: 05 35 40 19 09, | ---,Oui Cliquer ici,- Moulay yaacoub,,"Achevement des travaux d'aménagement du terrain de sport a ras lma dans la province de moulay yaacoub, région de fes meknes- en lot unique",
, | ---,"SUPPORT DU PAGE/COLONNE
Les eco 25/08/2025 17/005 | Les eco | 25/08/2025 | 17/005","3.092.400,00 MAD | ",08/09/2025 10:00 | Demander D.A.O,National,,"48.000,00 MAD | 08/09/2025 10:00",societe de developpement local nouaceur developpement S.A /Nouaceur developpement s.a.,BUDGET EN TTC,,, | ---,Oui,- Nouacer,,Travaux d'aménagement et de remise à niveau de la route provinciale la RP3038 à nouaceur,
"Secteur Qualification Classe
B B5 2
B B3 2
B B1 2 | B | B5 | 2 | B | B3 | 2 | B | B1 | 2", | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 17/01
SITE WEB 25/08/2025 01/1 | L'opinion | 25/08/2025 | 17/01 | SITE WEB | 25/08/2025 | 01/1","10.671.805,20 MAD | ",--- | Télécharger D.A.O,Appel d'offre resérvé au pme nationales,,"130.000,00 MAD | ---",agence regionale d'execution des projets - arep,budget en TTC / av 1 : certificat de qualification et de classification mentionné au niveau du RC,https://global-marches.com/downoaldcps/1488355.zip,SAID HRA - Téléphone: 05 35 40 11 43 - Email: arep.fes-meknes@outlook.fr - Télécopieur: 05 35 40 19 09, | ---,Oui Cliquer ici,- El hajeb,,"Travaux de construction des pistes à la province d'el hajeb , région fes meknes en lot unique : - la piste reliant la RP7058 et le domaine tafornet a la commune d'ait naaman - la piste reliant la RP7065 et la RP7058 via les coopératives : ait said , el farah et ait moussa a la commune d'ait naaman - les pistes menant au douar d'aadssi et douar jdid a la commune de ras ijerri",
"Secteur Qualification Classe
B B5 3 | B | B5 | 3", | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","5.232.168,00 MAD | ",--- | Télécharger D.A.O,National,,"80.000,00 MAD | ---",agence regionale d'execution des projets - arep / agence regionale d'execution des projets de la region beni mellal- khenifra,budget en TTC,https://global-marches.com/downoaldcps/1488352.zip,SOUKAINA EL IDRISSI - Téléphone: 05 23 42 22 79 - Email: daaf.areprbk@gmail.com - Télécopieur: 05 23 42 22 79, | ---,Oui Cliquer ici,- Beni mellal,,travaux de construction d’une piste au niveau de la commune foum el anceur a la province de beni mellal. -lot unique-,"service des marchés au siège de la l'agence, sis à l'avenue Mohamed V, Lot. Lalla Hayat, Immeuble 3, étage 4 Béni Mellal"
, | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 20/02 | L'opinion | 25/08/2025 | 20/02","310.500,00 MAD | ",--- | Demander D.A.O,National,,"6.210,00 MAD | ---",Region de souss-massa /province d'Agadir,budget et caution en TTC,,, | ---,Oui,- Agadir,,"AO simplifié : travaux d'aménagement par dallage des pistes menant au douar idbahmouche a la commune de tamri , province d'agadir ida outanane",
, | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 20/001 | L'opinion | 25/08/2025 | 20/001","230.000,00 MAD | ",--- | Télécharger D.A.O,National,,"4.500,00 MAD | ---",Autres societes /Societe de developpement local rabat sale temara prestations,,https://global-marches.com/downoaldcps/1488350.zip,YOUSSEF LHOR - Téléphone: 0673997857 - Email: y.lhor@yahoo.fr - Télécopieur: 0537771785, | ---,Oui Cliquer ici,- Sale,,AO simplifié : prestation de désinsectisation et désinfection des locaux des abattoirs de la région sis quartier industriel sidi bouknadel- lot unique,
"Secteur Qualification Classe
B B3 5
B B1 3 | B | B3 | 5 | B | B1 | 3", | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 20/01
SITE WEB 25/08/2025 01/01 | L'opinion | 25/08/2025 | 20/01 | SITE WEB | 25/08/2025 | 01/01","4.982.472,00 MAD | ",--- | Télécharger D.A.O,National,,"74.738,00 MAD | ---",Region de guelmim - oued Noun /province de tan tan,av 1 : qualifications mentionnée au niveau de RC,https://global-marches.com/downoaldcps/1488349.zip,BRAHIM EL OIAABANE - Téléphone: 0528765030 - Email: hamsied@hotmail.com - Télécopieur: 0528877677, | ---,Oui Cliquer ici,- Tan-tan,,Travaux de construction de la piste reliant le centre d'aglat el-bel a la commune de m'sied vers la commune abteh commune m'sied province de tan tan ( 1er tranche ),
, | 22/09/2025 16:30,"SUPPORT DU PAGE/COLONNE
Liberation 25/08/2025 18/02 | Liberation | 25/08/2025 | 18/02","1.200.000,00 MAD | ",--- | Télécharger D.A.O,National,,"20.000,00 MAD | ---",Conseil Consultatif des Droits de l'Homme,Budget en TTC // les prospectus exigés au plus tard le jour ouvrable précédant la date d'ouverture des plis à savoir le 22/09/2025 à 16h30,https://global-marches.com/downoaldcps/1488346.zip,Sara Jaljal - Téléphone: 0537540000 - Email: s.jaljal@cndh.org.ma - Télécopieur: 0537540001, | ---,Oui Cliquer ici,- Kenitra- Sale- Rabat,,L'achat et l'installation du matériel et logiciels pour la mise en place d'une infrastructure hyperconvergée pour le compte du conseil national des droits de l'homme à rabat région rabat-salé-kénitra.,
